_rg_o_entidade,v_nculo,cargo,escolaridade,vagas,publica_o_di_rio_oficial_da_uni_o_dou,link_publicacao_dou,tipo_de_autoriza_o,data_provimento,area_atuacao_governamental,norma_jur_dica,data_publicacao_dou,ano_da_publica_o,portaria_concurso,data_publicacao_portaria_concurso,unnamed_12,observacao,ato_oficial,link_da_publica_o_no_d_o_u_,_rea_de_atua_o_governamental
Agência Nacional de Telecomunicações - ANATEL,MC,Técnico em Regulação de Serviços Públicos de Telecomunicações,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 148,2008-06-06,2008.0,Port. 148,,,,,,
Agência Nacional de Telecomunicações - ANATEL,MC,Técnico Administrativo,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 148,2008-06-06,2008.0,Port. 148,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Administrador,Nível Superior,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Analista de Sistemas,Nível Superior,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Arquiteto,Nível Superior,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Arquivista,Nível Superior,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Auditor,Nível Superior,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Bibliotecário,Nível Superior,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Biólogo,Nível Superior,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Contador,Nível Superior,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Engenheiro,Nível Superior,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Estatístico,Nível Superior,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Farmacêutico Bioquímico,Nível Superior,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Geólogo,Nível Superior,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Técnico em Planejamento em Pesquisa,Nível Superior,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Sanitarista,Nível Superior,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Técnico em Assuntos Educacionais,Nível Superior,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Agente Administrativo,Nível Intermediário,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Fundação Nacional de Saúde – FUNASA,MS,Técnico de Contabilidade,Nível Intermediário,,,,Concurso Novo,,Social,Port. 151,2008-06-06,2008.0,Port. 151,,,,,,
Agência Brasileira de Inteligência - ABIN,PR,Tecnologista,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 152,2008-06-06,2008.0,Port. 152,,,,,,
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro – JBRJ,MMA,Analista em Ciência e Tecnologia,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 153,2008-06-12,2008.0,Port. 153,,,,,,
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro – JBRJ,MMA,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 153,2008-06-12,2008.0,Port. 153,,,,,,
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro – JBRJ,MMA,Pesquisador,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 153,2008-06-12,2008.0,Port. 153,,,,,,
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro – JBRJ,MMA,Técnico,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 153,2008-06-12,2008.0,Port. 153,,,,,,
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro – JBRJ,MMA,Tecnologista,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 153,2008-06-12,2008.0,Port. 153,,,,,,
Ministério do Desenvolvimento Agrário – MDA,MDA,Administrador,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 154,2008-06-13,2008.0,Port. 154,,,,,,
Ministério do Desenvolvimento Agrário – MDA,MDA,Arquivista,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 154,2008-06-13,2008.0,Port. 154,,,,,,
Ministério do Desenvolvimento Agrário – MDA,MDA,Contador,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 154,2008-06-13,2008.0,Port. 154,,,,,,
Ministério do Desenvolvimento Agrário – MDA,MDA,Economista,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 154,2008-06-13,2008.0,Port. 154,,,,,,
Ministério do Desenvolvimento Agrário – MDA,MDA,Engenheiro Agrimensor,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 154,2008-06-13,2008.0,Port. 154,,,,,,
Ministério do Desenvolvimento Agrário – MDA,MDA,Engenheiro Agrônomo,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 154,2008-06-13,2008.0,Port. 154,,,,,,
Ministério do Desenvolvimento Agrário – MDA,MDA,Engenheiro Florestal,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 154,2008-06-13,2008.0,Port. 154,,,,,,
Ministério do Desenvolvimento Agrário – MDA,MDA,Estatístico,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 154,2008-06-13,2008.0,Port. 154,,,,,,
Ministério do Desenvolvimento Agrário – MDA,MDA,Médico Veterinário,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 154,2008-06-13,2008.0,Port. 154,,,,,,
Ministério do Desenvolvimento Agrário – MDA,MDA,Agente Administrativo,Nível Intermediário,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 154,2008-06-13,2008.0,Port. 154,,,,,,
Agência Nacional do Cinema - ANCINE,MinC,Especialista em Regulação da Atividade Cinematográfica e Audiovisual,Nível Superior,,,,Concurso Novo,,Social,Port. 162,2008-06-20,2008.0,Port. 162,,,,,,
Agência Nacional do Cinema - ANCINE,MinC,Analista Administrativo,Nível Superior,,,,Concurso Novo,,Social,Port. 162,2008-06-20,2008.0,Port. 162,,,,,,
Agência Brasileira de Inteligência - ABIN,PR,Oficial de Inteligência,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 179,2008-06-26,2008.0,Port. 179,,,,,,
Agência Brasileira de Inteligência - ABIN,PR,Agente de Inteligência,Nível Intermediário,,,,1º Provimento,,Articulação Governamental,Port. 179,2008-06-26,2008.0,Port. 179,,,,,,
Ministério da Saúde – MS,MS,Agente Administrativo,Nível Intermediário,,,,Concurso Novo,,Social,Port. 205,2008-07-04,2008.0,Port. 205,,,,,,
Agência Nacional de Águas - ANA,MMA,Especialista em Recursos Hídricos,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 214,2008-07-10,2008.0,Port. 214,,,,,,
Agência Nacional de Águas - ANA,MMA,Especialista em Geoprocessamento,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 214,2008-07-10,2008.0,Port. 214,,,,,,
Agência Nacional de Águas - ANA,MMA,Analista Administrativo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 214,2008-07-10,2008.0,Port. 214,,,,,,
Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA,MMA,Analista Ambiental,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 225,2008-07-18,2008.0,Port. 225,,,,,,
Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA,MMA,Analista Ambiental,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 225,2008-07-18,2008.0,Port. 225,,,,,,
Instituto Chico Mendes de Conservação da Biodiversidade – ICMBio,MMA,Analista Ambiental,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 225,2008-07-18,2008.0,Port. 225,,,,,,
Instituto Chico Mendes de Conservação da Biodiversidade – ICMBio,MMA,Analista Ambiental,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 225,2008-07-18,2008.0,Port. 225,,,,,,
Ministério das Relações Exteriores - MRE,MRE,Oficial de Chancelaria,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 226,2008-07-22,2008.0,Port. 226,,,,,,
Agência Nacional de Transportes Aquaviários - ANTAQ,MT,Especialista em Regulação de Serviços de Transportes Aquaviários,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 232,2008-07-24,2008.0,Port. 232,,,,,,
Agência Nacional de Transportes Aquaviários - ANTAQ,MT,Técnico em Regulação de Serviços de Transportes Aquaviários,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 232,2008-07-24,2008.0,Port. 232,,,,,,
Agência Nacional de Transportes Aquaviários - ANTAQ,MT,Analista Administrativo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 232,2008-07-24,2008.0,Port. 232,,,,,,
Agência Nacional de Transportes Aquaviários - ANTAQ,MT,Técnico Administrativo,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 232,2008-07-24,2008.0,Port. 232,,,,,,
Secretaria do Tesouro Nacional – STN,MF,Analista de Finanças e Controle,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 237,2008-07-31,2008.0,Port. 361,,,,,,
Ministério do Trabalho e Emprego – MTE,MTE,Administrador,Nível Superior,,,,Concurso Novo,,Social,Port. 238,2008-07-31,2008.0,Port. 238,,,,,,
Ministério do Trabalho e Emprego – MTE,MTE,Economista,Nível Superior,,,,Concurso Novo,,Social,Port. 238,2008-07-31,2008.0,Port. 238,,,,,,
Ministério do Trabalho e Emprego – MTE,MTE,Agente Administrativo,Nível Intermediário,,,,Concurso Novo,,Social,Port. 238,2008-07-31,2008.0,Port. 238,,,,,,
Ministério da Integração Nacional – MI,MI,Especialista em Infra-Estrutura Sênior,Nível Superior,,,,Adicional de até 50%,,Infraestrutura,Port. 265,2008-08-25,2008.0,Port. 009,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Analista de Infraestrutura,Nível Superior,,,,Adicional de até 50%,,Infraestrutura,Port. 265,2008-08-25,2008.0,Port. 009,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Especialista em Infra-Estrutura Sênior,Nível Superior,,,,Adicional de até 50%,,Infraestrutura,Port. 265,2008-08-25,2008.0,Port. 009,,,,,,
Hospital das Forças Armadas - HFA,MD,Médico,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 267,2008-08-27,2008.0,Port. 267,,,,,,
Hospital das Forças Armadas - HFA,MD,Especialista em Atividades Hospitalares,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 267,2008-08-27,2008.0,Port. 267,,,,,,
Hospital das Forças Armadas - HFA,MD,Técnico em Atividades Médico-Hospitalares,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 267,2008-08-27,2008.0,Port. 267,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Professor de Magistério Superior,Nível Superior,,,,1º Provimento,,Social,Port. 286,2008-09-03,2008.0,Port. 286,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Professor de Magistério Superior,Nível Superior,,,,Concurso Novo,,Social,Port. 286,2008-09-03,2008.0,Port. 286,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Técnico-Administrativo em Educação-Nível Superior (classe E),Nível Superior,,,,Concurso Novo,,Social,Port. 286,2008-09-03,2008.0,Port. 286,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,"Técnico-Administrativo em Educação-Nível Intermediário (classes B, C e D)",Nível Intermediário,,,,Concurso Novo,,Social,Port. 286,2008-09-03,2008.0,Port. 286,,,,,,
Ministério do Meio Ambiente – MMA,MMA,Agente Administrativo,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 295,2008-09-22,2008.0,Port. 295,,,,,,
Comando da Aeronáutica - COMAER,MD,Técnico de Defesa Aérea e Controle de Tráfego Aéreo,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 297,2008-09-22,2008.0,Port. 297,,,,,,
Comando da Aeronáutica - COMAER,MD,Técnico em Informações Aeronáuticas,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 297,2008-09-22,2008.0,Port. 297,,,,,,
Comando da Aeronáutica - COMAER,MD,Técnico em Eletrônica e Telecomunicação,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 297,2008-09-22,2008.0,Port. 297,,,,,,
Comando da Aeronáutica - COMAER,MD,Técnico de Programação Operacional de Defesa Aérea e Controle de Tráfego Aéreo,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 297,2008-09-22,2008.0,Port. 297,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Especialista em Políticas Públicas e Gestão Governamental,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 317,2008-10-10,2008.0,Port. 444,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Analista de Planejamento e Orçamento,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 317,2008-10-10,2008.0,Port. 444,,,,,,
Ministério da Justiça – MJ,MJ,Agente Penitenciário Federal,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 323,2008-10-21,2008.0,Port. 323,,,,,,
Ministério da Justiça – MJ,MJ,Especialista em Assistência Penitenciária,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 323,2008-10-21,2008.0,Port. 323,,,,,,
Ministério da Justiça – MJ,MJ,Técnico de Apoio à Assistência Penitenciária,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 323,2008-10-21,2008.0,Port. 323,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Especialista em Políticas Públicas e Gestão Governamental,Nível Superior,,,,Excepcional,,Desenvolvimento Econômico e Produtivo,EM 297,2008-10-23,2008.0,Port. 444,,,,,,
Fundo Nacional de Desenvolvimento da Educação - FNDE,MEC,Especialista em Financiamento e Execução de Programas e Projetos Educacionais,Nível Superior,,,,Adicional de até 50%,,Social,Port. 330,2008-10-23,2008.0,Port. 122,,,,,,
Fundo Nacional de Desenvolvimento da Educação - FNDE,MEC,Técnico em Financiamento e Execução de Programas e Projetos Educacionais,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 330,2008-10-23,2008.0,Port. 122,,,,,,
"Coordenação de Aperfeiçoamento de Pessoal
de Nível Superior - CAPES",MEC,Analista em Ciência e Tecnologia,Nível Superior,,,,Adicional de até 50%,,Social,Port. 338,2008-11-05,2008.0,Port. 468,,,,,,
"Coordenação de Aperfeiçoamento de Pessoal
de Nível Superior - CAPES",MEC,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 338,2008-11-05,2008.0,Port. 468,,,,,,
Fundação Joaquim Nabuco - FUNDAJ,MEC,Analista em Ciência e Tecnologia,Nível Superior,,,,Adicional de até 50%,,Social,Port. 339,2008-11-05,2008.0,Port. 407,,,,,,
Fundação Joaquim Nabuco - FUNDAJ,MEC,Pesquisador,Nível Superior,,,,Adicional de até 50%,,Social,Port. 339,2008-11-05,2008.0,Port. 407,,,,,,
Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira - INEP,MEC,Pesquisador Tecnologista em Informações Educacionais,Nível Superior,,,,Adicional de até 50%,,Social,Port. 340,2008-11-05,2008.0,Port. 236,,,,,,
Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira - INEP,MEC,Técnico em Informações Educacionais,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 340,2008-11-05,2008.0,Port. 236,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Analista de Planejamento e Orçamento,Nível Superior,,,,Excepcional,,Desenvolvimento Econômico e Produtivo,EM 327,2008-11-17,2008.0,Port. 444,,,,,,
Comissão de Valores Mobiliários - CVM,MF,Agente Executivo,Nível Intermediário,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 349,2008-11-21,2008.0,Port. 349,,,,,,
Comissão de Valores Mobiliários - CVM,MF,Analista da CVM,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 349,2008-11-21,2008.0,Port. 349,,,,,,
Comissão de Valores Mobiliários - CVM,MF,Inspetor da CVM,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 349,2008-11-21,2008.0,Port. 349,,,,,,
Advocacia-Geral de União - AGU,PR,Advogado da União,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 038,2008-11-24,2008.0,Port. 038,,,,,,
Defensoria Pública da União - DPU,MJ,Defensor Público da União,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 365,2008-12-04,2008.0,Port. 180,,,,,,
Instituto Federal - IFET,MEC,"Professor da Carreira de Ensino Básico, Técnico e Tecnológico",Nível Superior,,,,1º Provimento,,Social,Port. 370,2008-12-05,2008.0,Port. 370,,,,,,
Instituto Federal - IFET,MEC,"Professor da Carreira de Ensino Básico, Técnico e Tecnológico",Nível Superior,,,,1º Provimento,,Social,Port. 370,2008-12-05,2008.0,Port. 370,,,,,,
Instituto Federal - IFET,MEC,Técnico Administrativo - classe C,Nível Intermediário,,,,1º Provimento,,Social,Port. 370,2008-12-05,2008.0,Port. 370,,,,,,
Instituto Federal - IFET,MEC,Técnico Administrativo - classe C,Nível Intermediário,,,,1º Provimento,,Social,Port. 370,2008-12-05,2008.0,Port. 370,,,,,,
Instituto Federal - IFET,MEC,Técnico Administrativo - classe D,Nível Intermediário,,,,1º Provimento,,Social,Port. 370,2008-12-05,2008.0,Port. 370,,,,,,
Instituto Federal - IFET,MEC,Técnico Administrativo - classe D,Nível Intermediário,,,,1º Provimento,,Social,Port. 370,2008-12-05,2008.0,Port. 370,,,,,,
Instituto Federal - IFET,MEC,Técnico Administrativo - classe E,Nível Superior,,,,1º Provimento,,Social,Port. 370,2008-12-05,2008.0,Port. 370,,,,,,
Instituto Federal - IFET,MEC,Técnico Administrativo - classe E,Nível Superior,,,,1º Provimento,,Social,Port. 370,2008-12-05,2008.0,Port. 370,,,,,,
Agência Nacional de Saúde Suplementar - ANS,,Técnico em Regulação de Saúde Suplementar,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 383,2008-12-17,2008.0,Port. 303,,,,,,
Ministério das Relações Exteriores - MRE,MRE,Assistente de Chancelaria,Nível Intermediário,,,,Adicional de até 50%,,Articulação Governamental,Port. 394,2008-12-19,2008.0,Port. 413,,,,,,
Controladoria-Geral da União - CGU,PR,Analista de Finanças e Controle,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 402,2008-12-24,2008.0,Port. 361,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento – MAPA",MAPA,Agente de Inspeção Sanitária e Industrial de Produtos de Origem Animal,Nível Intermediário,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 419,2008-12-31,2008.0,Port. 332,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Analista de Infraestrutura,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 422,2008-12-31,2008.0,Port. 009,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO",MDIC,Especialista em Metrologia e Qualidade Sênior,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 085,2008-04-28,2008.0,Port. 032,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO",MDIC,Pesquisador-Tecnologista em Metrologia e Qualidade,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 085,2008-04-28,2008.0,Port. 032,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO",MDIC,Analista Executivo em Metrologia e Qualidade,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 085,2008-04-28,2008.0,Port. 032,,,,,,
